TO_Time_UTC, jNO2_up, jNO2_down, jNO2_total, NO_ppbv, NO2_ppbv, NOy_ppbv, O3_ppbv, NOx_ppbv, Ox_ppbv, CO2_ppm, CO2_i_ppm, CH4_ppb, CH4_i_ppb, CO_ppb, CO_i_ppb, H2O_pct, H2O_i_pct, AmbTemp, RelHumidity, StaticPrs, VertWindSpd, WindDir, WindSpd, Heading, Pitch, Roll, TrueAirSpd, GPSAlt, GPSLat, GPSLon
60060,0.008864,0.000831,0.009695,0.032,0.066,0.047,58.744,0.098,58.809,424.03,424.03,1998.2,1998.2,,,,,,,,,,,,,,,86.11,38.555,-121.301
60061,0.008873,0.000891,0.009764,-0.104,0.052,0.114,58.577,-0.052,58.629,,423.54,,1999.1,164.7,164.8,,,,,,,,,,,,,96.87,38.555,-121.301
60062,0.00895,0.000934,0.009884,-0.079,-0.009,0.14,58.806,-0.088,58.797,423.18,423.19,2000.5,2000.1,,166.1,1.172,1.173,,,,,,,,,,,111.33,38.555,-121.302
60063,0.00889,0.000925,0.009815,-0.03,-0.025,0.027,58.534,-0.055,58.509,,423.24,,1999.7,168.1,167.5,,1.176,,,,,,,,,,,114.14,38.554,-121.302
60064,0.008907,0.000908,0.009815,0.138,-0.015,0.064,58.58,0.123,58.565,423.32,423.3,,1998.2,,168.9,1.179,1.178,,,,,,,,,,,126.96,38.554,-121.303
60065,0.008933,0.000925,0.009858,-0.045,-0.045,0.104,58.11,-0.091,58.065,,423.3,1996.9,1997.0,,170.1,,1.177,,,,,,,,,,,135.02,38.554,-121.303
60066,0.009001,0.000943,0.009944,-0.267,-0.002,0.162,58.011,-0.269,58.009,,423.27,,1997.2,171.0,169.7,1.175,1.175,,,,,,,,,,,140.09,38.554,-121.303
60067,0.008993,0.000934,0.009927,-0.128,0.02,-0.021,58.059,-0.108,58.079,423.25,423.3,1997.5,1997.5,,165.0,,1.176,,,,,,,,,,,152.39,38.553,-121.304
60068,0.00901,0.000986,0.009996,0.117,-0.031,0.121,57.84,0.085,57.809,,423.41,,1999.4,160.2,160.4,,1.177,,,,,,,,,,,157.14,38.553,-121.304
60069,0.009052,0.000977,0.01003,0.05,0.004,-0.026,57.723,0.053,57.727,423.51,423.52,2002.7,2001.7,,163.9,1.178,1.179,,,,,,,,,,,169.01,38.553,-121.305
60070,0.009086,0.000977,0.01006,-0.074,0.052,0.064,57.58,-0.022,57.632,,423.62,,2001.6,169.1,167.7,,1.183,,,,,,,,,,,170.85,38.553,-121.305
60071,0.009104,0.000969,0.01007,-0.013,-0.033,-0.063,57.505,-0.046,57.472,423.76,423.73,,1999.6,,168.1,1.187,1.187,,,,,,,,,,,180.5,38.552,-121.306
60072,0.009104,0.000986,0.01009,0.128,-0.014,0.022,57.254,0.113,57.239,,423.62,1998.0,1998.1,,166.4,,1.185,,,,,,,,,,,183.64,38.552,-121.306
60073,0.009086,0.000977,0.01006,0.034,-0.017,0.082,57.29,0.017,57.273,,423.41,,1998.5,165.3,166.1,1.181,1.182,,,,,,,,,,,186.57,38.552,-121.307
60074,0.009086,0.00096,0.01005,0.025,0.026,0.184,56.827,0.051,56.853,423.29,423.29,1999.0,1999.0,,168.5,,1.182,,,,,,,,,,,190.04,38.552,-121.307
60075,0.009112,0.001012,0.01012,0.115,-0.005,0.117,,0.109,,,423.29,,1998.8,170.8,170.8,,1.182,,,,,,,,,,,191.7,38.551,-121.308
60076,0.009104,0.001063,0.01017,-0.005,-0.009,0.098,,-0.014,,423.29,423.26,1998.3,1998.5,,168.2,1.183,1.181,,,,,,,,,,,193.81,38.551,-121.308
60077,0.009086,0.001098,0.01018,0.196,-0.085,0.111,,0.111,,,423.01,,1997.2,164.8,165.6,,1.178,,,,,,,,,,,195.27,38.551,-121.309
60078,0.009069,0.001175,0.01024,0.117,-0.028,-0.044,,0.089,,422.71,422.75,,1995.2,,166.4,1.175,1.175,,,,,,,,,,,196.17,38.551,-121.309
60079,0.009069,0.001132,0.0102,-0.107,-0.022,0.084,56.806,-0.129,56.784,,422.64,1993.9,1994.6,,168.7,,1.171,,,,,,,,,,,199.39,38.55,-121.31
60080,0.009044,0.001132,0.01018,-0.251,0.058,0.066,56.68,-0.193,56.737,422.52,422.56,,1996.9,170.0,169.9,1.165,1.166,,,,,,,,,,,202.16,38.55,-121.31
60081,0.00901,0.00121,0.01022,0.109,-0.029,0.06,56.448,0.08,56.419,,422.79,1999.3,1999.3,,169.5,,1.167,,,,,,,,,,,207.26,38.55,-121.311
60082,0.009052,0.001158,0.01021,-0.085,-0.014,0.023,56.213,-0.099,56.199,,423.3,,2005.1,169.3,169.1,,1.169,,,,,,,,,,,210.68,38.549,-121.311
60083,0.009018,0.001167,0.01018,-0.058,0.077,-0.005,56.229,0.019,56.306,423.7,423.81,2012.5,2010.9,,168.1,1.17,1.174,,,,,,,,,,,215.75,38.549,-121.312
60084,0.009018,0.001141,0.01016,0.017,-0.023,0.021,56.069,-0.006,56.046,,424.33,,2014.0,166.9,167.0,,1.183,,,,,,,,,,,216.63,38.549,-121.312
60085,0.008993,0.001184,0.01018,0.093,-0.064,0.119,56.322,0.029,56.259,424.87,424.85,,2016.0,,168.9,1.191,1.192,,,,,,,,,,,219.44,38.549,-121.313
60086,0.009018,0.001124,0.01014,0.042,-0.07,0.103,56.306,-0.028,56.236,,424.93,2017.2,2017.2,172.5,171.4,,1.197,,,,,,,,,,,224.88,38.549,-121.314
60087,0.00901,0.001106,0.01012,-0.176,0.016,0.163,56.06,-0.16,56.076,425.01,424.99,,2017.3,,172.5,1.204,1.203,,,,,,,,,,,227.31,38.548,-121.314
60088,0.00901,0.001115,0.01013,-0.019,0.036,0.035,56.01,0.016,56.046,,425.05,2017.4,2017.4,,172.6,,1.205,,,,,,,,,,,234.09,38.548,-121.315
60089,0.00901,0.001158,0.01017,-0.039,0.056,0.166,56.246,0.017,56.303,,425.1,,2017.6,172.6,173.3,1.206,1.206,,,,,,,,,,,235.99,38.548,-121.315
60090,0.00901,0.001072,0.01008,-0.057,0.013,0.036,56.523,-0.043,56.537,425.14,425.1,2017.8,2017.8,,176.0,,1.207,,,,,,,,,,,242.57,38.548,-121.317
60091,0.00901,0.001115,0.01013,0.062,-0.017,-0.02,56.243,0.045,56.225,,424.96,,2019.0,178.8,178.7,,1.208,,,,,,,,,,,245.95,38.548,-121.317
60092,0.009027,0.001072,0.0101,-0.078,-0.011,0.088,55.686,-0.089,55.675,424.83,424.84,2020.9,2020.3,,177.2,1.209,1.209,,,,,,,,,,,248.17,38.548,-121.317
60093,0.008993,0.001124,0.01012,0.014,0.042,0.016,55.871,0.055,55.913,,424.88,,2021.6,175.0,175.6,,1.21,,,,,,,,,,,252.86,38.548,-121.318
60094,0.008993,0.001141,0.01013,-0.041,0.045,0.058,55.648,0.005,55.694,424.93,424.92,,2022.7,,173.1,1.211,1.211,,,,,,,,,,,255.92,38.548,-121.319
60095,0.008993,0.001115,0.01011,-0.055,0.047,0.131,55.448,-0.008,55.495,,424.02,2023.6,2020.6,,170.1,,1.198,,,,,,,,,,,261.09,38.548,-121.32
60096,0.009001,0.00102,0.01002,-0.081,-0.028,0.145,55.711,-0.109,55.683,,422.78,,2006.5,168.0,167.0,1.181,1.186,,,,,,,,,,,262.99,38.548,-121.32
60097,0.00901,0.001115,0.01013,0.007,-0.015,0.113,55.921,-0.008,55.906,422.04,422.28,1990.6,1992.4,,163.8,,1.174,,,,,,,,,,,268.52,38.548,-121.321
60098,0.009001,0.001098,0.0101,-0.013,-0.009,0.069,56.721,-0.022,56.712,,422.87,,1994.0,160.5,160.6,,1.163,,,,,,,,,,,269.36,38.548,-121.322
60099,0.008993,0.001072,0.01006,,,,,,,423.44,423.35,1999.7,1997.9,,160.0,1.154,1.149,,,,,,,,,,,273.07,38.548,-121.322
60100,0.008975,0.001115,0.01009,,,,,,,,421.22,,1993.4,159.2,159.4,,1.131,,,,,,,,,,,276.66,38.548,-121.323
60101,0.009001,0.001115,0.01012,,,,,,,418.52,419.08,,1981.7,,159.6,1.111,1.112,,,,,,,,,,,280.15,38.548,-121.324
60102,0.008967,0.001081,0.01005,,,,,,,,420.14,1972.5,1976.5,,160.2,,1.113,,,,,,,,,,,283.72,38.548,-121.325
60103,0.008933,0.001098,0.01003,,,,,,,,422.35,,1994.7,160.6,161.7,1.115,1.115,,,,,,,,,,,286.62,38.548,-121.325
60104,0.008958,0.001158,0.01012,,,,,,,423.61,422.5,2014.3,2012.9,,164.8,,1.114,,,,,,,,,,,290.01,38.548,-121.326
60105,0.00895,0.001141,0.01009,,,,,,,,419.95,,1988.0,167.9,167.4,,1.113,,,,,,,,,,,290.75,38.548,-121.326
60106,0.008916,0.001201,0.01012,,,,,,,417.74,417.71,1948.3,1959.4,,154.9,1.112,1.095,,,,,,,,,,,294.39,38.548,-121.327
60107,0.008941,0.001184,0.01012,,,,,,,,417.49,,1947.5,138.8,142.4,,1.049,,,,,,,,,,,298.25,38.548,-121.328
60108,0.008941,0.001184,0.01012,,,,,,,417.22,417.26,,1946.2,,138.5,1.004,1.004,,,,,,,,,,,302.39,38.549,-121.328
60109,0.00895,0.001175,0.01013,,,,,,,,416.94,1945.2,1944.6,,138.0,,0.985,,,,,,,,,,,307.15,38.549,-121.329
60110,0.00895,0.00115,0.0101,,,,,,,416.43,416.6,,1942.4,137.7,136.0,0.962,0.967,,,,,,,,,,,310.13,38.549,-121.33
60111,0.008933,0.001167,0.0101,,,,,,,,416.23,1940.1,1940.1,,132.0,,0.945,,,,,,,,,,,316.64,38.549,-121.331
60112,0.008941,0.001322,0.01026,,,,,,,,415.83,,1938.6,128.4,128.1,,0.923,,,,,,,,,,,317.7,38.549,-121.331
60113,0.008933,0.001339,0.01027,,,,,,,415.5,415.44,1936.5,1937.1,,125.1,0.91,0.903,,,,,,,,,,,323.98,38.55,-121.332
60114,0.008941,0.001175,0.01012,,,,,,,,415.07,,1935.4,121.3,122.1,,0.887,,,,,,,,,,,327.81,38.55,-121.332
60115,0.008958,0.001193,0.01015,,,,,,,414.64,414.7,,1933.8,,116.1,0.872,0.871,,,,,,,,,,,330.35,38.55,-121.332
60116,0.008958,0.001158,0.01012,,,,,,,,414.46,1932.6,1932.5,,109.0,,0.852,,,,,,,,,,,338.09,38.551,-121.333
60117,0.008941,0.001184,0.01012,,,,,,,414.15,414.25,,1931.9,105.1,104.8,0.828,0.832,,,,,,,,,,,339.27,38.551,-121.334
60118,0.008967,0.00121,0.01018,,,,,,,,414.11,1931.4,1931.4,,104.1,,0.816,,,,,,,,,,,345.18,38.551,-121.334
60119,0.008907,0.001167,0.01007,,,,,,,,414.03,,1930.9,103.5,103.1,,0.801,,,,,,,,,,,348.71,38.551,-121.335
60120,0.008864,0.001236,0.0101,,,,,,,413.97,413.96,1930.2,1930.4,,99.9,0.793,0.788,,,,,,,,,,,352.7,38.552,-121.335
60121,0.008813,0.001236,0.01005,,,,,,,,413.89,,1930.0,96.1,96.7,,0.779,,,,,,,,,,,357.53,38.552,-121.336
60122,0.008813,0.001219,0.01003,,,,,,,413.82,413.83,,1929.8,,93.8,0.771,0.771,,,,,,,,,,,358.89,38.552,-121.336
60123,0.008796,0.001253,0.01005,,,,,,,,413.74,1929.7,1929.5,,90.9,,0.771,,,,,,,,,,,362.95,38.553,-121.337
60124,0.008839,0.001262,0.0101,,,,,,,413.6,413.64,,1929.0,89.4,90.1,0.77,0.77,,,,,,,,,,,368.37,38.553,-121.337
60125,0.008839,0.00127,0.01011,,,,,,,,413.5,1928.6,1928.6,,91.4,,0.773,,,,,,,,,,,372.79,38.553,-121.338
60126,0.008813,0.001227,0.01004,,,,,,,,413.32,,1928.0,92.6,92.5,,0.778,,,,,,,,,,,378.07,38.554,-121.338
60127,0.008839,0.001219,0.01006,,,,,,,413.19,413.15,1927.3,1927.4,,92.2,0.78,0.783,,,,,,,,,,,381.99,38.554,-121.339
60128,0.008882,0.001193,0.01007,-0.17,0.034,,53.794,-0.136,53.828,,412.99,,1927.1,91.8,91.9,,0.79,,,,,,,,,,,383.35,38.554,-121.339
60129,0.008873,0.001219,0.01009,0.158,0.005,,53.906,0.163,53.911,412.83,412.84,,1926.9,,89.4,0.795,0.796,,,,,,,,,,,387.69,38.555,-121.339
60130,0.008864,0.001244,0.01011,-0.044,0.043,,53.87,-0.001,53.913,,412.72,1926.8,1926.6,85.3,86.5,,0.8,,,,,,,,,,,390.21,38.555,-121.34
60131,0.008856,0.001227,0.01008,-0.077,-0.056,,54.021,-0.133,53.965,412.56,412.6,,1926.0,,85.5,0.804,0.804,,,,,,,,,,,394.8,38.556,-121.34
60132,0.008882,0.001184,0.01007,-0.068,-0.015,0.093,53.878,-0.083,53.862,,412.42,1925.6,1925.5,,85.9,,0.805,,,,,,,,,,,396.78,38.556,-121.34
60133,0.008882,0.00121,0.01009,-0.065,0.029,0.225,53.688,-0.036,53.717,,412.21,,1925.1,86.2,86.4,0.808,0.807,,,,,,,,,,,401.13,38.557,-121.341
60134,0.008907,0.001193,0.0101,-0.038,0.006,0.085,54.055,-0.032,54.061,412.08,412.07,1924.7,1924.7,,87.1,,0.803,,,,,,,,,,,401.76,38.557,-121.341
60135,0.008933,0.00115,0.01008,0.21,-0.037,0.124,54.295,0.173,54.258,,412.06,,1924.8,87.9,87.9,,0.794,,,,,,,,,,,404.76,38.558,-121.341
60136,0.008967,0.00115,0.01012,0.214,-0.026,0.085,54.212,0.188,54.186,412.05,412.05,1924.9,1924.9,,87.3,0.789,0.787,,,,,,,,,,,407.01,38.558,-121.341
60137,0.008975,0.001132,0.01011,0.035,0.045,0.207,53.753,0.08,53.798,,412.04,,1924.9,86.3,86.5,,0.782,,,,,,,,,,,408.44,38.558,-121.341
60138,0.009044,0.001175,0.01022,0.045,0.016,0.164,54.193,0.061,54.209,412.04,412.04,,1925.0,,86.5,0.776,0.777,,,,,,,,,,,412.81,38.559,-121.342
60139,0.009078,0.001175,0.01025,0.136,-0.06,0.227,54.202,0.076,54.142,,412.04,1925.0,1925.0,,87.0,,0.771,,,,,,,,,,,413.53,38.559,-121.342
60140,0.009086,0.001089,0.01018,-0.007,0.06,0.173,53.721,0.053,53.781,,412.04,,1925.3,87.3,87.3,0.764,0.766,,,,,,,,,,,416.43,38.56,-121.342
60141,0.009078,0.001132,0.01021,-0.009,-0.008,0.259,53.425,-0.016,53.418,412.04,412.04,1925.5,1925.5,,87.6,,0.76,,,,,,,,,,,420.42,38.56,-121.342
60142,0.009121,0.001106,0.01023,-0.082,0.005,0.154,53.528,-0.077,53.533,,412.04,,1925.6,87.8,87.8,,0.754,,,,,,,,,,,422.98,38.561,-121.342
60143,0.009138,0.001106,0.01024,0.01,0.004,0.225,53.947,0.014,53.951,412.03,412.03,1925.7,1925.7,,87.1,0.749,0.748,,,,,,,,,,,428.07,38.562,-121.342
60144,0.009138,0.001115,0.01025,0.106,0.006,0.085,53.78,0.112,53.786,,412.05,,1925.9,86.0,86.3,,0.743,,,,,,,,,,,430.38,38.562,-121.342
60145,0.009155,0.001115,0.01027,0.056,-0.015,0.257,53.896,0.041,53.881,412.08,412.07,,1926.2,,84.7,0.738,0.738,,,,,,,,,,,435.96,38.563,-121.343
60146,0.009155,0.001115,0.01027,-0.095,0.049,0.1,53.615,-0.046,53.664,,412.21,1926.4,1926.6,,82.6,,0.727,,,,,,,,,,,436.86,38.563,-121.343
60147,0.009155,0.001115,0.01027,-0.109,0.081,0.215,,-0.028,,,412.39,,1927.7,81.1,81.4,0.71,0.715,,,,,,,,,,,439.64,38.563,-121.343
60148,0.009155,0.00115,0.0103,-0.012,0.025,0.104,,0.013,,412.51,412.54,1928.9,1928.8,,82.5,,0.696,,,,,,,,,,,444.33,38.564,-121.343
60149,0.009146,0.001141,0.01029,0.046,0.016,0.331,,0.061,,,412.64,,1929.2,83.6,83.6,,0.673,,,,,,,,,,,446.39,38.564,-121.343
60150,0.009138,0.001132,0.01027,0.127,-0.009,0.191,,0.118,,412.73,412.73,1929.7,1929.5,,86.7,0.656,0.651,,,,,,,,,,,451.8,38.565,-121.343
60151,0.009172,0.001124,0.0103,0.04,0.009,0.197,53.255,0.049,53.264,,412.92,,1930.2,91.1,89.9,,0.634,,,,,,,,,,,452.66,38.565,-121.343
60152,0.00918,0.00115,0.01033,0.016,-0.02,0.156,53.527,-0.004,53.507,413.16,413.1,,1931.1,,90.0,0.615,0.617,,,,,,,,,,,456.22,38.566,-121.343
60153,0.009189,0.001115,0.0103,0.123,-0.007,0.228,53.652,0.116,53.645,,413.2,1931.9,1931.9,,88.1,,0.595,,,,,,,,,,,461.0,38.566,-121.343
60154,0.009163,0.001132,0.01029,0.239,-0.0,0.177,53.591,0.238,53.591,,413.25,,1932.4,86.8,86.3,0.566,0.574,,,,,,,,,,,465.05,38.567,-121.343
60155,0.00918,0.001132,0.01031,-0.016,0.017,0.236,53.434,0.001,53.451,413.29,413.32,1932.9,1932.8,,84.7,,0.556,,,,,,,,,,,470.14,38.568,-121.343
60156,0.009223,0.00115,0.01037,0.012,0.003,0.283,53.453,0.015,53.456,,413.39,,1933.0,83.1,83.1,,0.542,,,,,,,,,,,473.95,38.568,-121.343
60157,0.009214,0.001106,0.01032,-0.06,-0.007,0.14,53.912,-0.067,53.905,413.46,413.47,1933.3,1933.2,,82.3,0.532,0.529,,,,,,,,,,,478.78,38.569,-121.344
60158,0.009172,0.001098,0.01027,-0.04,0.024,0.142,53.803,-0.016,53.827,,413.55,,1933.1,81.3,81.5,,0.518,,,,,,,,,,,479.77,38.569,-121.344
60159,0.009189,0.001124,0.01031,0.047,0.025,0.028,53.422,0.072,53.447,413.65,413.64,,1932.9,,83.1,0.507,0.507,,,,,,,,,,,483.0,38.569,-121.344
60160,0.009189,0.001158,0.01035,0.051,-0.061,0.166,53.576,-0.01,53.515,,413.62,1932.7,1932.8,,85.6,,0.497,,,,,,,,,,,488.68,38.57,-121.344
60161,0.009206,0.001098,0.0103,-0.054,-0.026,0.2,53.733,-0.08,53.707,,413.57,,1933.2,87.2,87.0,0.484,0.487,,,,,,,,,,,491.13,38.57,-121.344
60162,0.009189,0.001098,0.01029,0.201,-0.038,0.231,53.61,0.164,53.573,413.54,413.51,1933.7,1933.7,,86.2,,0.481,,,,,,,,,,,497.32,38.571,-121.344
60163,0.009206,0.001141,0.01035,0.137,-0.023,0.299,53.551,0.114,53.529,,413.44,,1934.0,85.5,85.5,,0.476,,,,,,,,,,,498.24,38.571,-121.344
60164,0.009206,0.001081,0.01029,0.065,0.033,0.233,53.571,0.098,53.604,413.39,413.35,1934.4,1934.3,,85.1,0.473,0.472,,,,,,,,,,,503.47,38.572,-121.344
60165,0.009223,0.001089,0.01031,0.059,0.017,0.132,53.489,0.076,53.506,,413.12,,1934.6,84.7,84.8,,0.471,,,,,,,,,,,507.31,38.573,-121.344
60166,0.009214,0.001055,0.01027,-0.024,0.02,0.063,53.202,-0.004,53.222,412.85,412.88,,1935.0,,85.0,0.469,0.469,,,,,,,,,,,512.03,38.573,-121.344
60167,0.009214,0.001106,0.01032,0.105,0.013,0.161,53.086,0.118,53.099,,412.74,1935.3,1935.5,,85.4,,0.469,,,,,,,,,,,515.79,38.574,-121.344
60168,0.009206,0.001115,0.01032,0.118,-0.023,0.229,53.18,0.095,53.157,412.55,412.61,,1936.1,85.6,85.5,0.47,0.47,,,,,,,,,,,519.06,38.574,-121.344
60169,0.009206,0.001081,0.01029,0.02,-0.036,0.198,53.318,-0.016,53.282,,412.51,1936.7,1936.7,,85.4,,0.472,,,,,,,,,,,520.7,38.574,-121.344
60170,0.009206,0.001081,0.01029,-0.061,-0.015,0.182,53.23,-0.075,53.215,,412.44,,1936.7,85.3,85.4,,0.474,,,,,,,,,,,525.04,38.575,-121.344
60171,0.00924,0.001055,0.0103,-0.027,0.033,0.141,53.266,0.006,53.299,412.38,412.39,1936.6,1936.6,,86.0,0.475,0.475,,,,,,,,,,,528.24,38.575,-121.344
60172,0.009257,0.001081,0.01034,-0.108,0.018,0.246,53.071,-0.09,53.089,,412.4,,1936.5,86.7,86.7,,0.475,,,,,,,,,,,533.43,38.576,-121.344
60173,0.009223,0.001098,0.01032,0.09,-0.012,0.117,53.058,0.078,53.046,412.42,412.42,,1936.3,,86.0,0.475,0.474,,,,,,,,,,,536.63,38.577,-121.344
60174,0.00924,0.001081,0.01032,0.052,-0.024,0.061,52.817,0.028,52.793,,412.44,1936.2,1936.0,84.7,85.1,,0.473,,,,,,,,,,,538.68,38.577,-121.344
60175,0.00924,0.001098,0.01034,0.089,-0.011,0.12,52.878,0.077,52.867,412.48,412.47,,1935.7,,84.1,0.472,0.472,,,,,,,,,,,543.08,38.577,-121.344
60176,0.00924,0.001081,0.01032,0.024,0.079,0.244,53.003,0.104,53.082,,412.47,1935.3,1935.3,,82.9,,0.47,,,,,,,,,,,546.17,38.578,-121.344
60177,0.009232,0.001115,0.01035,0.044,-0.019,0.144,53.39,0.025,53.371,,412.47,,1935.6,82.0,82.3,0.468,0.469,,,,,,,,,,,551.41,38.579,-121.344
60178,0.009257,0.001081,0.01034,-0.034,0.025,0.203,53.381,-0.008,53.407,412.46,412.44,1935.9,1935.8,,83.8,,0.468,,,,,,,,,,,554.33,38.579,-121.344
60179,0.009266,0.001089,0.01035,0.091,-0.008,0.159,52.84,0.083,52.833,,412.36,,1936.3,85.3,85.3,,0.467,,,,,,,,,,,556.49,38.579,-121.344
60180,0.009283,0.001124,0.01041,-0.041,0.068,0.063,52.775,0.027,52.843,412.28,412.26,1937.1,1936.8,,83.1,0.466,0.468,,,,,,,,,,,560.77,38.58,-121.344
60181,0.009274,0.001124,0.0104,0.14,-0.072,0.037,52.943,0.068,52.872,,411.97,,1937.5,79.9,80.7,,0.473,,,,,,,,,,,563.87,38.58,-121.344
60182,0.009283,0.001124,0.01041,0.17,0.023,0.147,52.779,0.194,52.803,411.6,411.67,,1938.4,,81.7,0.478,0.478,,,,,,,,,,,569.51,38.581,-121.344
60183,0.009266,0.001098,0.01036,0.1,0.01,0.098,52.761,0.11,52.771,,411.47,1939.0,1939.1,,84.4,,0.487,,,,,,,,,,,571.57,38.581,-121.344
60184,0.009266,0.001081,0.01035,-0.15,0.028,0.085,52.707,-0.122,52.735,,411.3,,1939.5,86.1,85.4,0.498,0.495,,,,,,,,,,,578.52,38.582,-121.344
60185,0.009283,0.001288,0.01057,-0.024,0.024,0.15,,0.0,,411.21,410.99,1939.9,1939.9,,83.6,,0.509,,,,,,,,,,,579.52,38.582,-121.344
60186,0.009283,0.001262,0.01054,-0.081,-0.012,0.147,,-0.093,,,410.49,,1940.4,81.8,81.7,,0.524,,,,,,,,,,,584.89,38.583,-121.344
60187,0.009325,0.001219,0.01054,0.098,-0.075,0.099,,0.023,,410.06,410.02,1941.2,1941.0,,79.5,0.534,0.543,,,,,,,,,,,588.28,38.583,-121.344
60188,0.009308,0.001357,0.01067,0.171,-0.026,0.111,53.773,0.145,53.747,,409.68,,1941.0,76.7,77.3,,0.567,,,,,,,,,,,591.65,38.584,-121.344
60189,0.009334,0.001322,0.01066,0.179,-0.092,0.085,54.246,0.087,54.154,409.28,409.35,,1940.8,,77.6,0.592,0.592,,,,,,,,,,,595.6,38.585,-121.344
60190,0.009351,0.001365,0.01072,0.062,-0.026,0.136,53.965,0.036,53.939,,409.24,1940.7,1940.7,,78.9,,0.6,,,,,,,,,,,598.25,38.585,-121.344
60191,0.009325,0.001132,0.01046,0.105,-0.036,0.105,53.955,0.069,53.919,,409.19,,1940.8,79.7,79.0,0.611,0.609,,,,,,,,,,,599.27,38.585,-121.344
60192,0.009351,0.001141,0.01049,0.087,-0.002,0.12,53.856,0.086,53.855,409.16,409.33,1940.9,1940.9,,77.1,,0.6,,,,,,,,,,,602.3,38.586,-121.344
60193,0.009334,0.00115,0.01048,0.263,-0.046,0.31,53.683,0.217,53.638,,409.67,,1940.7,75.4,75.4,,0.583,,,,,,,,,,,604.51,38.586,-121.344
60194,0.009351,0.001106,0.01046,-0.011,0.013,0.225,53.411,0.002,53.424,409.95,409.96,1940.4,1940.5,,76.4,0.573,0.567,,,,,,,,,,,607.63,38.587,-121.344
60195,0.009325,0.001106,0.01043,0.249,-0.072,0.121,53.235,0.177,53.163,,410.03,,1940.7,77.5,77.3,,0.552,,,,,,,,,,,609.7,38.588,-121.344
60196,0.009317,0.001089,0.01041,0.1,-0.012,0.197,53.208,0.088,53.196,410.11,410.1,,1941.1,,79.7,0.538,0.537,,,,,,,,,,,612.64,38.588,-121.344
60197,0.009317,0.001106,0.01042,0.067,0.061,0.084,52.716,0.128,52.777,,410.14,1941.4,1941.5,,82.6,,0.529,,,,,,,,,,,613.13,38.588,-121.344
60198,0.009291,0.001132,0.01042,-0.008,0.054,0.131,52.893,0.047,52.947,410.19,410.17,,1941.5,84.1,82.8,0.519,0.52,,,,,,,,,,,615.55,38.589,-121.344
60199,0.0093,0.001098,0.0104,-0.025,0.041,0.074,52.873,0.016,52.915,,410.19,1941.6,1941.6,,80.0,,0.515,,,,,,,,,,,617.44,38.589,-121.344
60200,0.009291,0.001124,0.01042,0.169,0.003,0.172,52.794,0.172,52.797,,410.19,,1941.7,77.7,77.6,0.509,0.511,,,,,,,,,,,618.59,38.59,-121.344
60201,0.0093,0.001089,0.01039,0.01,0.024,0.272,52.654,0.033,52.678,410.19,410.19,1941.8,1941.8,,77.3,,0.508,,,,,,,,,,,621.76,38.591,-121.344
60202,0.009343,0.001098,0.01044,0.1,-0.014,0.229,52.476,0.086,52.461,,410.2,,1942.0,77.0,77.0,,0.504,,,,,,,,,,,622.31,38.591,-121.344
60203,0.009325,0.001141,0.01047,-0.018,-0.035,0.212,52.452,-0.053,52.416,410.21,410.21,,1942.2,,76.7,0.502,0.502,,,,,,,,,,,625.04,38.592,-121.344
60204,0.009308,0.001098,0.01041,-0.058,0.079,0.171,52.482,0.021,52.561,,410.17,1942.3,1942.3,76.3,76.4,,0.501,,,,,,,,,,,627.72,38.592,-121.344
60205,0.009351,0.001072,0.01042,0.049,0.005,0.236,52.651,0.054,52.656,410.12,410.13,,1942.4,,75.8,0.499,0.5,,,,,,,,,,,631.09,38.593,-121.344
60206,0.00936,0.001115,0.01047,-0.063,-0.037,0.089,52.522,-0.1,52.485,,410.12,1942.5,1942.5,,74.8,,0.499,,,,,,,,,,,634.58,38.593,-121.344
60207,0.009368,0.001115,0.01048,-0.061,0.009,0.147,52.661,-0.051,52.67,,410.13,,1942.4,74.0,74.7,0.499,0.499,,,,,,,,,,,636.99,38.594,-121.344
60208,0.00936,0.001072,0.01043,0.018,-0.002,0.165,52.856,0.016,52.854,410.14,410.16,1942.4,1942.4,,77.7,,0.498,,,,,,,,,,,642.22,38.594,-121.344
60209,0.009343,0.00115,0.01049,0.054,-0.037,0.128,52.699,0.017,52.662,,410.21,,1941.9,80.9,80.7,,0.497,,,,,,,,,,,643.14,38.595,-121.344
60210,0.009377,0.001132,0.01051,-0.025,0.024,0.178,52.535,-0.001,52.558,410.26,410.26,1941.1,1941.4,,78.0,0.496,0.496,,,,,,,,,,,646.04,38.595,-121.344
60211,0.009385,0.001184,0.01057,0.015,0.021,0.126,52.74,0.036,52.761,,410.39,,1940.9,73.8,74.9,,0.497,,,,,,,,,,,651.44,38.596,-121.344
60212,0.009402,0.001115,0.01052,-0.0,0.015,0.166,52.705,0.014,52.719,410.55,410.52,,1940.4,,74.7,0.497,0.497,,,,,,,,,,,653.4,38.596,-121.344
60213,0.009394,0.001175,0.01057,0.193,-0.035,0.087,52.541,0.158,52.507,,410.53,1940.1,1940.0,,76.0,,0.499,,,,,,,,,,,660.14,38.597,-121.344
60214,0.009385,0.001184,0.01057,0.095,-0.002,0.232,52.593,0.094,52.591,,410.5,,1939.8,77.0,77.5,0.502,0.501,,,,,,,,,,,661.18,38.597,-121.344
